x,Sync,Async,Rod,Pos
15.52431983530283,(-0.00013618046454160808-0.0007419135784845057j),(-4.006822317154475e-05+8.396651378721465e-05j),(-0.00013259462965741219-0.0007542950443790919j),(-3.5858348841959267e-06+1.2381465894586033e-05j)
15.52198931232046,(-0.001231181142167525-0.0001747399748360763j),(-0.0023998855787425305+8.510730063131248e-05j),(-0.0012260717735055931-0.00018657438489285495j),(-5.109368661931697e-06+1.1834410056778657e-05j)
15.524321609500443,(-5.35528671146462e-05+0.00038202645721987816j),(-0.0001200349424776821+4.1595934026501735e-05j),(-4.7000542470966324e-05+0.00037092573871703625j),(-6.55232464367991e-06+1.1100718502841991e-05j)
15.524885768991433,(0.00019675579748350963-3.879899924780528e-05j),(0.0005168629010591392+2.528360409271038e-05j),(0.00020464774403513797-4.899096123467297e-05j),(-7.891946551628273e-06+1.0191961986867695e-05j)
15.526544475591145,(0.001009526278217216-0.0005885723968281966j),(0.0021511846405466196+0.00011233787793096238j),(0.0010186333859652532-0.0005976948689701743j),(-9.107107748037109e-06+9.122472141977528e-06j)
15.525995183831943,(0.0008427881291336331-0.0019802757260448615j),(0.0015349532325579873+0.00012366541747988876j),(0.0008529667735485703-0.0019881848415067693j),(-1.017864441493693e-05+7.909115461907657e-06j)
15.52430956750181,(5.158731152831013e-05-0.002597947759290682j),(-0.00024323892384585762+0.00010697054869860084j),(6.267696930729603e-05-0.002604518786597009j),(-1.1089657778985755e-05+6.5710273063269446e-06j)
15.521525434413688,(-0.001257579337888711-0.002726154161706254j),(-0.0030693030360180026-1.1296131030423521e-05j),(-0.0012457535572734915-0.0027312834718310384j),(-1.182578061521952e-05+5.1293101247840095e-06j)
15.518957947565069,(-0.002628597974625192-0.0016547261027152302j),(-0.0055904839292742915-9.294793519215029e-05j),(-0.00261622257079842-0.0016583328033737022j),(-1.237540382677236e-05+3.606700658471883e-06j)
15.518744399516589,(-0.002783452158099262+0.0002244953701365816j),(-0.005714982180285647-0.00014943531247669728j),(-0.002770722298571993+0.0002224681587683445j),(-1.2729859527269095e-05+2.027211368237119e-06j)
15.521440454246626,(-0.0015677785025876672+0.0005841079764303052j),(-0.0029275437548541092-6.938029004959745e-05j),(-0.0015548949448490957+0.0005836922246865773j),(-1.2883557738571317e-05+4.157517437278803e-07j)
15.52081197695593,(-0.0017616188119489729+0.0007518203309559066j),(-0.0036354489968648154-3.8645705586467556e-05j),(-0.0017487847374009007+0.0007530225954900445j),(-1.283407454807192e-05-1.2022645341379965e-06j)
15.524258338110101,(-0.000136842579241607+0.0016747556171862149j),(-0.00013165424824474882-0.00011772515792563603j),(-0.0001242603889063621+0.0016775569375683174j),(-1.258219033524492e-05-2.8013203821025e-06j)
15.524677844672809,(6.851901867323067e-05-0.0002428450518192446j),(0.0003332151077874958-4.140241352971407e-05j),(8.065089613782564e-05-0.00023848885408503105j),(-1.2131877464594924e-05-4.356197734213561e-06j)
15.523420153816474,(-0.0006032058656431554+0.0005384851292135885j),(-0.0009225677569283418-5.797384210143835e-05j),(-0.0005917156280040594+0.0005443275044593783j),(-1.1490237639095956e-05-5.842375245789689e-06j)
