t,deg,mixed_signal
0.256,92.16,-3.959474095186488
0.2565,92.34,-3.964946609718907
0.257,92.52,-3.9299083926059244
0.2575,92.7,-3.822710188741232
0.258,92.88,-3.678202597385112
0.2585,93.06,-3.496978262461462
0.259,93.24,-3.3059523339543024
0.2595,93.42,-3.1040238007689887
0.26,93.6,-2.970397467842765
0.2605,93.78,-2.882089945097691
0.261,93.96,-2.830433121874879
0.2615,94.14,-2.7844143472333647
0.262,94.32,-2.7673416229424737
0.2625,94.5,-2.718947533445341
0.263,94.67999999999999,-2.64352107982229
0.2635,94.86,-2.5504526874295856
0.264,95.03999999999999,-2.4351635665618585
0.2645,95.22,-2.3609604944819784
0.265,95.39999999999999,-2.2855179678577286
0.2655,95.58,-2.2585158907114304
0.266,95.75999999999999,-2.2362021750582137
0.2665,95.94,-2.1973793638993193
0.267,96.11999999999999,-2.171558481776922
0.2675,96.3,-2.064047384818781
0.268,96.47999999999999,-1.9400829937245796
0.2685,96.66,-1.7603607023786523
0.269,96.84,-1.5736325745146122
0.2695,97.02,-1.353126310198575
0.27,97.2,-1.195410707575107
0.2705,97.38,-1.0596471835369192
0.271,97.56,-0.9547544407036939
0.2715,97.74,-0.8675028453105827
0.272,97.92,-0.7732028606955513
0.2725,98.1,-0.6587109587197976
0.273,98.28,-0.49817350786800063
0.2735,98.46,-0.3184818673835194
0.274,98.64,-0.12879097879840776
0.2745,98.82,0.05816452619995504
0.275,99.0,0.1817356185485403
0.2755,99.17999999999999,0.3039100356592818
0.276,99.36,0.38398106949545685
0.2765,99.53999999999999,0.43116493869130545
0.277,99.72,0.5037767850022405
0.2775,99.89999999999999,0.5871121085631565
0.278,100.08,0.7069866760991722
0.2785,100.25999999999999,0.8521075692627719
0.279,100.44,1.025438934106928
0.2795,100.61999999999999,1.153799047815461
0.28,100.8,1.2889847649814807
0.2805,100.97999999999999,1.3457142724146003
0.281,101.16,1.3856031614446618
0.28150000000000003,101.33999999999999,1.416578676178361
0.28200000000000003,101.52,1.4666463710732778
0.28250000000000003,101.7,1.5507122198345982
0.28300000000000003,101.88,1.6796878844764214
0.28350000000000003,102.06,1.8722970025107144
0.28400000000000003,102.24,2.0485000486009666
0.28450000000000003,102.42,2.2323982803446794
0.28500000000000003,102.6,2.411856878087365
0.28550000000000003,102.78,2.5358719642118213
0.28600000000000003,102.96,2.6515773418678834
0.28650000000000003,103.14,2.7117064874684944
0.28700000000000003,103.32,2.8277868874711842
0.28750000000000003,103.5,2.9185649335058916
0.28800000000000003,103.67999999999999,3.072046356025779
0.2885,103.86,3.209370650974421
0.289,104.03999999999999,3.3267222756240526
0.2895,104.22,3.4376995156076684
0.29,104.39999999999999,3.4895225920296413
0.2905,104.58,3.4798278433569676
0.291,104.75999999999999,3.4435667668031513
0.2915,104.94,3.380224204229984
0.292,105.11999999999999,3.328638643502332
0.2925,105.3,3.2996542883373037
0.293,105.47999999999999,3.315726693353933
0.2935,105.66,3.387923907935908
0.294,105.83999999999999,3.461374006304554
0.2945,106.02,3.570810244731476
0.295,106.2,3.639577951025361
0.2955,106.38,3.7040929026847307
0.296,106.56,3.7171858164709035
0.2965,106.74,3.7679410989700175
0.297,106.92,3.8093117410824595
0.2975,107.1,3.9216679347531542
0.298,107.28,4.022102956845232
0.2985,107.46,4.1677059156948495
0.299,107.64,4.270868275688973
0.2995,107.82,4.376665681836328
0.3,108.0,4.392200790619041
0.3005,108.17999999999999,4.361805175661168
0.301,108.36,4.2739257674305104
0.3015,108.53999999999999,4.166672433832311
0.302,108.72,4.020550154995309
0.3025,108.89999999999999,3.9158551331352784
0.303,109.08,3.843993480398025
0.3035,109.25999999999999,3.77714645002709
0.304,109.44,3.74981614172544
0.3045,109.61999999999999,3.711374122145237
0.305,109.8,3.6302699235959293
0.3055,109.97999999999999,3.564059273443112
0.306,110.16,3.460820987880878
0.3065,110.33999999999999,3.386724750694338
0.307,110.52,3.319200389570564
0.3075,110.7,3.2902563573088317
0.308,110.88,3.321350510864535
0.3085,111.06,3.3797621029803295
0.309,111.24,3.4502046630259167
0.3095,111.42,3.490506652941553
0.31,111.6,3.484695123060872
0.3105,111.78,3.4427422403857784
0.311,111.96,3.3282426454793317
0.3115,112.14,3.1936273245436664
0.312,112.32,3.073743735305955
0.3125,112.5,2.9476988961554076
0.313,112.67999999999999,2.815721333675311
0.3135,112.86,2.7246649809989836
0.314,113.03999999999999,2.6490564873108697
0.3145,113.22,2.53339238785997
0.315,113.39999999999999,2.4226750220276374
0.3155,113.58,2.243382504674371
0.316,113.75999999999999,2.059627242556132
0.3165,113.94,1.8550255402588103
0.317,114.11999999999999,1.6787197182925757
0.3175,114.3,1.550151803303459
0.318,114.47999999999999,1.463679363473612
0.3185,114.66,1.409543456463433
0.319,114.83999999999999,1.36946337428367
0.3195,115.02,1.3370221968715594
0.32,115.19999999999999,1.2771940567673883
0.3205,115.38,1.1602750079458848
0.321,115.56,1.0179101851074495
0.3215,115.74,0.881710049587666
0.322,115.92,0.7331832191455937
0.3225,116.1,0.6008867193235458
0.323,116.28,0.4848488404635262
0.3235,116.46,0.44748861788453437
0.324,116.64,0.36605550905403833
0.3245,116.82,0.30545751336119265
0.325,117.0,0.19966829580205855
0.3255,117.17999999999999,0.0279396830579741
0.326,117.36,-0.13670775405234312
0.3265,117.53999999999999,-0.3179245709699637
0.327,117.72,-0.49902922552104556
0.3275,117.89999999999999,-0.6649266506909977
0.328,118.08,-0.802626887930006
0.3285,118.25999999999999,-0.8761619068987838
0.329,118.44,-0.9687716793230835
0.3295,118.61999999999999,-1.0774218976751013
0.33,118.8,-1.2120959061093082
0.3305,118.97999999999999,-1.3599971047130037
0.331,119.16,-1.5619771060401948
0.3315,119.33999999999999,-1.7603530912308394
0.332,119.52,-1.9291680529093636
0.3325,119.69999999999999,-2.073668829941869
0.333,119.88,-2.180764209661699
0.3335,120.06,-2.2150441460097863
0.334,120.24,-2.216418177391387
0.3345,120.42,-2.2354701078590318
0.335,120.6,-2.2646833822911665
0.3355,120.78,-2.3621735308847605
0.336,120.96,-2.4586479854155785
0.3365,121.14,-2.5561621315042347
0.337,121.32,-2.658397922551228
0.3375,121.5,-2.7267548799732344
0.338,121.67999999999999,-2.766981576426291
0.3385,121.86,-2.784527706498383
0.339,122.03999999999999,-2.8201920629473913
0.3395,122.22,-2.8890351113204633
0.34,122.39999999999999,-2.978358310494374
0.3405,122.58,-3.11646980986418
0.341,122.75999999999999,-3.3083221090646298
0.3415,122.94,-3.5134558241086697
0.342,123.11999999999999,-3.686732329319402
0.3425,123.3,-3.807613806253019
0.343,123.47999999999999,-3.9321717765596285
0.3435,123.66,-3.9624066068617325
0.34400000000000003,123.83999999999999,-3.9596019609477353
0.34450000000000003,124.02,-3.956940600349958
0.34500000000000003,124.19999999999999,-3.951672153442619
0.34550000000000003,124.38,-3.9701365452765867
0.34600000000000003,124.56,-4.010692124270227
