t,sync_wavelet_extra,async_wavelet_extra
2.337,-0.0008847733977330047,-0.0014805434386919384
2.3375,-0.0010421665467581246,-0.0016909000453215178
2.338,-0.0011456324792251888,-0.0018099866155663737
2.3385,-0.0011795787646960044,-0.0018106231396800207
2.339,-0.0011343669278502434,-0.0016840055091903111
2.3395,-0.001008643139940907,-0.0014406483526374708
2.34,-0.0008113606764636469,-0.0011079557806937333
2.3405,-0.0005640056019514012,-0.0007285949815227237
2.341,-0.00030114564987665965,-0.0003591495418914695
2.3415,-6.53784322074497e-05,-6.308336577065872e-05
2.342,0.00010478420162720405,0.00010604187139627213
2.3425,0.00018921602665001696,0.0001254351676437523
2.343,0.00019359729346791847,1.4309508265491857e-05
2.3435,0.00014405644373626837,-0.00017491348195668865
2.344,7.188845168663581e-05,-0.00038213598329197706
2.3445,-1.8153915955782386e-06,-0.0005660910877123085
2.345,-7.235471441031704e-05,-0.0007156355478809195
2.3455,-0.00014618336088988214,-0.0008410894546264614
2.346,-0.00022940120046631828,-0.0009541753271286667
2.3465000000000003,-0.0003178943053920601,-0.0010506369448589326
2.347,-0.00039495260824534104,-0.0011059825847740817
2.3475,-0.0004379326813661491,-0.0010868616017421931
2.348,-0.00043116779198059985,-0.0009728641657776278
2.3485,-0.0003786907989560714,-0.0007777427659606523
2.349,-0.00030878102638996497,-0.0005567972586607282
2.3495,-0.00026502715391785083,-0.0003915552696744177
2.35,-0.00028593349643415544,-0.0003549779168877099
2.3505000000000003,-0.00038339306617607557,-0.0004744788866052673
2.351,-0.0005333195414824986,-0.0007152252851427374
2.3515,-0.0006856917460210399,-0.0009958391097688569
2.352,-0.0007892597850547927,-0.0012281922354437356
2.3525,-0.0008164779306751996,-0.0013572881436214892
2.353,-0.0007740326599804578,-0.001378254954196139
2.3535,-0.0006938442850264927,-0.0013240323149638032
2.354,-0.0006117231086176917,-0.0012362470311006774
2.3545000000000003,-0.000547474926988306,-0.0011395238063095817
2.355,-0.0004975135307128851,-0.0010329331492228708
2.3555,-0.0004420736625513498,-0.000899059341185982
2.356,-0.00036051922685428265,-0.0007213364809491166
2.3565,-0.000244994967036507,-0.0004984863088569535
2.357,-0.00010545069221287171,-0.00024924564943597715
2.3575,3.493513668102866e-05,-6.860745280319804e-06
2.358,0.00014955183886404273,0.00019211438446475605
2.3585000000000003,0.00021719479102956768,0.0003182403940650072
2.359,0.00022621284299925162,0.00035449372378227803
2.3595,0.00017478662922591125,0.00029698063721100767
2.36,7.093351245696303e-05,0.00015511678190066058
2.3605,-6.57818650950933e-05,-4.622012846934996e-05
2.361,-0.00020339425671327433,-0.00026554587152752377
2.3615,-0.00030266079591313656,-0.0004509756507361332
2.362,-0.00033003473996900956,-0.0005562033683028248
2.3625000000000003,-0.0002730966119078476,-0.000559605271709339
2.363,-0.00014841989477018265,-0.0004741756068536675
2.3635,4.828060861349626e-06,-0.0003403765935890997
2.364,0.00014269455984783344,-0.00020570677076179147
2.3645,0.00023477144931774652,-0.00010400930763563119
2.365,0.00027238051082184274,-4.6601034522854434e-05
2.3655,0.00026392172338482976,-2.773902594215977e-05
2.366,0.00022340762563820954,-3.732176609918568e-05
2.3665000000000003,0.00016092122831939162,-7.117542047438833e-05
2.367,7.976076613975684e-05,-0.00013369708322111512
2.3675,-2.0870524652989868e-05,-0.00023369699644788827
2.368,-0.00014169711534820444,-0.00037750976233325744
2.3685,-0.0002807313180652554,-0.0005632981257174544
2.369,-0.00043250189634149166,-0.0007787274146063303
2.3695,-0.0005878135389321506,-0.0010021716766675283
2.37,-0.0007328175566669343,-0.0012058631235721405
2.3705,-0.0008476184359975949,-0.0013589050763651725
2.371,-0.0009065120378626848,-0.0014298180732868104
2.3715,-0.0008827408588134001,-0.0013909834629497137
2.372,-0.0007586265885026254,-0.001227379790920926
2.3725,-0.0005372443420299663,-0.0009475004058023972
2.373,-0.00024790052546494,-0.0005887804390183617
2.3735,6.0881262204044517e-05,-0.00020980150922448294
2.374,0.00033955134288727424,0.0001304219623986722
2.3745,0.000557015381830412,0.00039522959090585586
2.375,0.0007093583856998183,0.0005807537417239406
2.3755,0.00081251355650291,0.0007070393132699083
2.376,0.0008841734401985391,0.0007957656828926426
2.3765,0.0009268235627306303,0.0008490768420076032
2.377,0.0009225026585760017,0.0008430237379599767
2.3775,0.0008427893971362525,0.0007405112364387629
2.378,0.0006691506957819632,0.0005178753548696613
2.3785,0.0004127837427891379,0.0001910137834583012
2.379,0.00012173262771566107,-0.00017525778208261932
2.3795,-0.00013195116645295079,-0.00048458415124045205
2.38,-0.0002814063037622638,-0.0006486143258034566
2.3805,-0.00029559926810810013,-0.000628643255666676
2.381,-0.00019319764094934602,-0.00045449124206655534
2.3815,-3.068587524867043e-05,-0.00020803869244520864
2.382,0.0001278882053649826,1.874343116348799e-05
2.3825,0.00024060575717915585,0.00016526617160014313
2.383,0.00029978142953645116,0.00021962179849040536
2.3835,0.00032256225998531765,0.00020616770049246714
2.384,0.00032979051869033526,0.00015699557895946912
2.3845,0.00032782436773130265,8.755784752797762e-05
2.385,0.0003031587052879245,-1.0656304679266792e-05
2.3855,0.00023075395958233508,-0.0001602958717579561
2.386,8.992286012689813e-05,-0.0003800273860346892
2.3865,-0.00012110691076496718,-0.0006688437555702819
2.387,-0.0003793829403844513,-0.0010001525665896047
2.3875,-0.0006428002362093929,-0.0013271749593238985
2.388,-0.0008633834451000455,-0.0015953007679684857
2.3885,-0.0010005571875702213,-0.0017541860468109596
2.389,-0.0010284114074994655,-0.0017652068369917884
2.3895,-0.0009374237834483411,-0.0016065354393552114
